lokacija,broj_soba,kvadratura,sprat,novogradnja,centralno_grejanje,lift,parking,uknjizen,stanje,cena,klasa,adresa,latitude,longitude
Petlovo brdo,3,67,I-II,NE,DA,NA,NA,DA,0,970.1492537,.9-1.1K,"Petlovo brdo, Beograd, Srbija",44.7226292,20.425119
"Zemun, Nova Galenika",2,65,P,NA,DA,DA,NA,DA,NA,969.2307692,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
Labudovo brdo,3,64,V+,NE,DA,DA,NA,DA,1,968.75,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
Labudovo brdo,3,64,V+,NE,DA,DA,NA,NA,1,968.75,.9-1.1K,"Labudovo brdo, Beograd, Srbija",44.728355,20.4245747
"Novi Beograd, Studentski grad",2,64,V+,NE,DA,DA,DA,DA,0,968.75,.9-1.1K,"Novi Beograd, Studentski grad, Beograd, Srbija",44.8262971,20.39979416
"Bežanijska kosa, Blokovi",4,94,I-II,DA,DA,DA,NA,NA,1,968.0851064,.9-1.1K,"Bežanijska kosa, Blokovi, Beograd, Srbija",44.817451,20.376588
Autokomanda,2,65,V+,NA,NE,DA,DA,DA,1,967.6923077,.9-1.1K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Autokomanda,2,65,V+,NA,NE,DA,DA,DA,1,967.6923077,.9-1.1K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Vidikovac,3,92,I-II,NA,DA,DA,NA,DA,1,967.3913043,.9-1.1K,"Vidikovac, Beograd, Srbija",44.7410032,20.423297
Autokomanda,2,60,I-II,NA,NE,NA,NA,DA,0,966.6666667,.9-1.1K,"Autokomanda, Beograd, Srbija",44.7897953,20.4666487
Mirijevo 2,2,60,V+,NA,DA,DA,NA,DA,2,966.6666667,.9-1.1K,"Mirijevo 2, Beograd, Srbija",44.7891144,20.532774
Uciteljsko naselje,3,60,III-IV,NE,DA,NA,NA,DA,2,966.6666667,.9-1.1K,"Uciteljsko naselje, Beograd, Srbija",44.7863098,20.5082717
Žarkovo,2,30,I-II,NA,NE,NA,NA,NA,NA,966.6666667,.9-1.1K,"Žarkovo, Beograd, Srbija",44.7594261,20.4137684
"Zemun, Nova Galenika",3,60,I-II,DA,NE,NA,NA,DA,2,966.6666667,.9-1.1K,"Zemun, Nova Galenika, Beograd, Srbija",44.8574855,20.3699834
